country,religion,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Dem. Rep. of the Congo,Other religious group,,,7.654425355633817e-05,0.0,7.654425355633817e-05,-7.654425355633817e-05,7.654425355633817e-05,-1.0,3.827212677816909e-05
Western Sahara,Islam,,,7.640791961980839e-05,0.0,7.640791961980839e-05,-7.640791961980839e-05,7.640791961980839e-05,-1.0,3.8203959809904197e-05
Solomon Islands,Christianity,,,7.628318857149391e-05,0.0,7.628318857149391e-05,-7.628318857149391e-05,7.628318857149391e-05,-1.0,3.8141594285746956e-05
Zimbabwe,Other religious group,,,7.474725624399348e-05,0.0,7.474725624399348e-05,-7.474725624399348e-05,7.474725624399348e-05,-1.0,3.737362812199674e-05
United Arab Emirates,Hinduism,,,7.18885946599488e-05,0.0,7.18885946599488e-05,-7.18885946599488e-05,7.18885946599488e-05,-1.0,3.59442973299744e-05
Guyana,Christianity,,,7.179287083217257e-05,0.0,7.179287083217257e-05,-7.179287083217257e-05,7.179287083217257e-05,-1.0,3.589643541608629e-05
Norway,I do not identify with any religious group or faith,,,7.14853942944671e-05,0.0,7.14853942944671e-05,-7.14853942944671e-05,7.14853942944671e-05,-1.0,3.574269714723355e-05
Montenegro,Christianity,,,7.136211360717953e-05,0.0,7.136211360717953e-05,-7.136211360717953e-05,7.136211360717953e-05,-1.0,3.5681056803589765e-05
Mali,Christianity,,,7.13345567476682e-05,0.0,7.13345567476682e-05,-7.13345567476682e-05,7.13345567476682e-05,-1.0,3.56672783738341e-05
Canada,Christianity,2.0,0.0033333333333333335,0.003404548467354,0.0033333333333333335,0.003404548467354,-7.121513402066643e-05,7.121513402066643e-05,-0.02091764435241379,3.5607567010333217e-05
North Korea,Christianity,,,7.063258201064252e-05,0.0,7.063258201064252e-05,-7.063258201064252e-05,7.063258201064252e-05,-1.0,3.531629100532126e-05
Burundi,Other religious group,,,6.988564608178253e-05,0.0,6.988564608178253e-05,-6.988564608178253e-05,6.988564608178253e-05,-1.0,3.4942823040891264e-05
South Korea,Other religious group,,,6.987839427664798e-05,0.0,6.987839427664798e-05,-6.987839427664798e-05,6.987839427664798e-05,-1.0,3.493919713832399e-05
Liberia,Islam,,,6.94432859685742e-05,0.0,6.94432859685742e-05,-6.94432859685742e-05,6.94432859685742e-05,-1.0,3.47216429842871e-05
Canada,Hinduism,,,6.907779498979222e-05,0.0,6.907779498979222e-05,-6.907779498979222e-05,6.907779498979222e-05,-1.0,3.453889749489611e-05
Jamaica,I do not identify with any religious group or faith,,,6.835261447633593e-05,0.0,6.835261447633593e-05,-6.835261447633593e-05,6.835261447633593e-05,-1.0,3.4176307238167964e-05
Guinea Bissau,Other religious group,,,6.823078415007528e-05,0.0,6.823078415007528e-05,-6.823078415007528e-05,6.823078415007528e-05,-1.0,3.411539207503764e-05
Portugal,I do not identify with any religious group or faith,,,6.815536537667584e-05,0.0,6.815536537667584e-05,-6.815536537667584e-05,6.815536537667584e-05,-1.0,3.407768268833792e-05
Georgia,Islam,,,6.75070539976459e-05,0.0,6.75070539976459e-05,-6.75070539976459e-05,6.75070539976459e-05,-1.0,3.375352699882295e-05
Austria,Islam,,,6.571005668530123e-05,0.0,6.571005668530123e-05,-6.571005668530123e-05,6.571005668530123e-05,-1.0,3.285502834265062e-05
Senegal,Christianity,,,6.490075523228401e-05,0.0,6.490075523228401e-05,-6.490075523228401e-05,6.490075523228401e-05,-1.0,3.2450377616142005e-05
Cape Verde,Christianity,,,6.46135837489553e-05,0.0,6.46135837489553e-05,-6.46135837489553e-05,6.46135837489553e-05,-1.0,3.230679187447765e-05
Argentina,Other religious group,,,6.446999800729098e-05,0.0,6.446999800729098e-05,-6.446999800729098e-05,6.446999800729098e-05,-1.0,3.223499900364549e-05
Benin,I do not identify with any religious group or faith,,,6.417847544088154e-05,0.0,6.417847544088154e-05,-6.417847544088154e-05,6.417847544088154e-05,-1.0,3.208923772044077e-05
Guadeloupe,Christianity,,,6.398122634122144e-05,0.0,6.398122634122144e-05,-6.398122634122144e-05,6.398122634122144e-05,-1.0,3.199061317061072e-05
Sweden,Islam,,,6.258017758922389e-05,0.0,6.258017758922389e-05,-6.258017758922389e-05,6.258017758922389e-05,-1.0,3.129008879461194e-05
Switzerland,Islam,,,6.110371006382688e-05,0.0,6.110371006382688e-05,-6.110371006382688e-05,6.110371006382688e-05,-1.0,3.055185503191344e-05
Mali,I do not identify with any religious group or faith,,,6.018853225584505e-05,0.0,6.018853225584505e-05,-6.018853225584505e-05,6.018853225584505e-05,-1.0,3.0094266127922525e-05
Botswana,I do not identify with any religious group or faith,,,6.0053648680342184e-05,0.0,6.0053648680342184e-05,-6.0053648680342184e-05,6.0053648680342184e-05,-1.0,3.0026824340171092e-05
Syria,I do not identify with any religious group or faith,,,5.920373711857141e-05,0.0,5.920373711857141e-05,-5.920373711857141e-05,5.920373711857141e-05,-1.0,2.9601868559285705e-05
Malta,Christianity,,,5.90877082364184e-05,0.0,5.90877082364184e-05,-5.90877082364184e-05,5.90877082364184e-05,-1.0,2.95438541182092e-05
Bolivia,I do not identify with any religious group or faith,,,5.904854848869175e-05,0.0,5.904854848869175e-05,-5.904854848869175e-05,5.904854848869175e-05,-1.0,2.9524274244345875e-05
Argentina,Islam,,,5.860908909753725e-05,0.0,5.860908909753725e-05,-5.860908909753725e-05,5.860908909753725e-05,-1.0,2.9304544548768625e-05
Martinique,Christianity,,,5.7383534029796115e-05,0.0,5.7383534029796115e-05,-5.7383534029796115e-05,5.7383534029796115e-05,-1.0,2.8691767014898058e-05
Colombia,Other religious group,,,5.706663014541572e-05,0.0,5.706663014541572e-05,-5.706663014541572e-05,5.706663014541572e-05,-1.0,2.853331507270786e-05
Kuwait,Christianity,,,5.682804575648861e-05,0.0,5.682804575648861e-05,-5.682804575648861e-05,5.682804575648861e-05,-1.0,2.8414022878244305e-05
Rwanda,I do not identify with any religious group or faith,,,5.545020278092166e-05,0.0,5.545020278092166e-05,-5.545020278092166e-05,5.545020278092166e-05,-1.0,2.772510139046083e-05
Peru,Other religious group,,,5.482944826140308e-05,0.0,5.482944826140308e-05,-5.482944826140308e-05,5.482944826140308e-05,-1.0,2.741472413070154e-05
Central African Republic,Islam,,,5.424350240653039e-05,0.0,5.424350240653039e-05,-5.424350240653039e-05,5.424350240653039e-05,-1.0,2.7121751203265194e-05
Togo,I do not identify with any religious group or faith,,,5.4223197352153614e-05,0.0,5.4223197352153614e-05,-5.4223197352153614e-05,5.4223197352153614e-05,-1.0,2.7111598676076807e-05
Malawi,I do not identify with any religious group or faith,,,5.40259482524935e-05,0.0,5.40259482524935e-05,-5.40259482524935e-05,5.40259482524935e-05,-1.0,2.701297412624675e-05
Costa Rica,I do not identify with any religious group or faith,,,5.3393590844759615e-05,0.0,5.3393590844759615e-05,-5.3393590844759615e-05,5.3393590844759615e-05,-1.0,2.6696795422379808e-05
Slovenia,I do not identify with any religious group or faith,,,5.299619192338557e-05,0.0,5.299619192338557e-05,-5.299619192338557e-05,5.299619192338557e-05,-1.0,2.6498095961692785e-05
North Korea,Buddhism,,,5.2974436507981885e-05,0.0,5.2974436507981885e-05,-5.2974436507981885e-05,5.2974436507981885e-05,-1.0,2.6487218253990942e-05
Republic of the Congo,I do not identify with any religious group or faith,,,5.2735126938541305e-05,0.0,5.2735126938541305e-05,-5.2735126938541305e-05,5.2735126938541305e-05,-1.0,2.6367563469270653e-05
Luxembourg,Christianity,,,5.2073762310269184e-05,0.0,5.2073762310269184e-05,-5.2073762310269184e-05,5.2073762310269184e-05,-1.0,2.6036881155134592e-05
Russia,Other religious group,,,5.183590310185551e-05,0.0,5.183590310185551e-05,-5.183590310185551e-05,5.183590310185551e-05,-1.0,2.5917951550927757e-05
South Africa,Other religious group,,,5.089461879538924e-05,0.0,5.089461879538924e-05,-5.089461879538924e-05,5.089461879538924e-05,-1.0,2.544730939769462e-05
Canada,Judaism,,,4.934128213556588e-05,0.0,4.934128213556588e-05,-4.934128213556588e-05,4.934128213556588e-05,-1.0,2.467064106778294e-05
Sudan,I do not identify with any religious group or faith,,,4.873213050426259e-05,0.0,4.873213050426259e-05,-4.873213050426259e-05,4.873213050426259e-05,-1.0,2.4366065252131294e-05
Uganda,Other religious group,,,4.847106551941833e-05,0.0,4.847106551941833e-05,-4.847106551941833e-05,4.847106551941833e-05,-1.0,2.4235532759709166e-05
Australia,Other religious group,,,4.844931010401464e-05,0.0,4.844931010401464e-05,-4.844931010401464e-05,4.844931010401464e-05,-1.0,2.422465505200732e-05
Lithuania,I do not identify with any religious group or faith,,,4.815198609349756e-05,0.0,4.815198609349756e-05,-4.815198609349756e-05,4.815198609349756e-05,-1.0,2.407599304674878e-05
Mauritius,Christianity,,,4.7702374175154665e-05,0.0,4.7702374175154665e-05,-4.7702374175154665e-05,4.7702374175154665e-05,-1.0,2.3851187087577332e-05
Bahamas,Christianity,,,4.733978391842652e-05,0.0,4.733978391842652e-05,-4.733978391842652e-05,4.733978391842652e-05,-1.0,2.366989195921326e-05
Serbia,Islam,,,4.733108175226504e-05,0.0,4.733108175226504e-05,-4.733108175226504e-05,4.733108175226504e-05,-1.0,2.366554087613252e-05
Macau,Other religious group,,,4.691337777651422e-05,0.0,4.691337777651422e-05,-4.691337777651422e-05,4.691337777651422e-05,-1.0,2.345668888825711e-05
Turkmenistan,Christianity,,,4.678284528409209e-05,0.0,4.678284528409209e-05,-4.678284528409209e-05,4.678284528409209e-05,-1.0,2.3391422642046046e-05
Maldives,Islam,,,4.566896801542324e-05,0.0,4.566896801542324e-05,-4.566896801542324e-05,4.566896801542324e-05,-1.0,2.283448400771162e-05
Bulgaria,I do not identify with any religious group or faith,,,4.562545718461585e-05,0.0,4.562545718461585e-05,-4.562545718461585e-05,4.562545718461585e-05,-1.0,2.2812728592307927e-05
France,Judaism,,,4.553408443992036e-05,0.0,4.553408443992036e-05,-4.553408443992036e-05,4.553408443992036e-05,-1.0,2.276704221996018e-05
France,Other religious group,,,4.553408443992036e-05,0.0,4.553408443992036e-05,-4.553408443992036e-05,4.553408443992036e-05,-1.0,2.276704221996018e-05
France,Buddhism,,,4.553408443992036e-05,0.0,4.553408443992036e-05,-4.553408443992036e-05,4.553408443992036e-05,-1.0,2.276704221996018e-05
Australia,Hinduism,,,4.5219356097080326e-05,0.0,4.5219356097080326e-05,-4.5219356097080326e-05,4.5219356097080326e-05,-1.0,2.2609678048540163e-05
Trinidad and Tobago,Hinduism,,,4.4117081716626776e-05,0.0,4.4117081716626776e-05,-4.4117081716626776e-05,4.4117081716626776e-05,-1.0,2.2058540858313388e-05
Iceland,Christianity,,,4.4090975218142345e-05,0.0,4.4090975218142345e-05,-4.4090975218142345e-05,4.4090975218142345e-05,-1.0,2.2045487609071172e-05
Saudi Arabia,Hinduism,,,4.379365120762528e-05,0.0,4.379365120762528e-05,-4.379365120762528e-05,4.379365120762528e-05,-1.0,2.189682560381264e-05
Brunei,Islam,,,4.356884524845381e-05,0.0,4.356884524845381e-05,-4.356884524845381e-05,4.356884524845381e-05,-1.0,2.1784422624226905e-05
Guinea Bissau,Christianity,,,4.34296105898702e-05,0.0,4.34296105898702e-05,-4.34296105898702e-05,4.34296105898702e-05,-1.0,2.17148052949351e-05
Bangladesh,Christianity,,,4.313083621832622e-05,0.0,4.313083621832622e-05,-4.313083621832622e-05,4.313083621832622e-05,-1.0,2.156541810916311e-05
Turkey,Christianity,,,4.2205505883156e-05,0.0,4.2205505883156e-05,-4.2205505883156e-05,4.2205505883156e-05,-1.0,2.1102752941578e-05
Chile,Other religious group,,,4.218665118980613e-05,0.0,4.218665118980613e-05,-4.218665118980613e-05,4.218665118980613e-05,-1.0,2.1093325594903065e-05
Russia,Judaism,,,4.1468722481484405e-05,0.0,4.1468722481484405e-05,-4.1468722481484405e-05,4.1468722481484405e-05,-1.0,2.0734361240742203e-05
Cambodia,Islam,,,4.101620984108768e-05,0.0,4.101620984108768e-05,-4.101620984108768e-05,4.101620984108768e-05,-1.0,2.050810492054384e-05
Chad,I do not identify with any religious group or faith,,,4.071888583057061e-05,0.0,4.071888583057061e-05,-4.071888583057061e-05,4.071888583057061e-05,-1.0,2.0359442915285305e-05
Cyprus,Islam,,,4.0363547378977024e-05,0.0,4.0363547378977024e-05,-4.0363547378977024e-05,4.0363547378977024e-05,-1.0,2.0181773689488512e-05
Ireland,I do not identify with any religious group or faith,,,4.019530549985517e-05,0.0,4.019530549985517e-05,-4.019530549985517e-05,4.019530549985517e-05,-1.0,2.0097652749927584e-05
Azerbaijan,Christianity,,,3.998645351197975e-05,0.0,3.998645351197975e-05,-3.998645351197975e-05,3.998645351197975e-05,-1.0,1.9993226755989877e-05
Guinea,Other religious group,,,3.980515838361568e-05,0.0,3.980515838361568e-05,-3.980515838361568e-05,3.980515838361568e-05,-1.0,1.990257919180784e-05
Canada,Buddhism,,,3.94730257084527e-05,0.0,3.94730257084527e-05,-3.94730257084527e-05,3.94730257084527e-05,-1.0,1.973651285422635e-05
Belize,Christianity,,,3.938600404683794e-05,0.0,3.938600404683794e-05,-3.938600404683794e-05,3.938600404683794e-05,-1.0,1.969300202341897e-05
Suriname,Christianity,,,3.891608707411827e-05,0.0,3.891608707411827e-05,-3.891608707411827e-05,3.891608707411827e-05,-1.0,1.9458043537059136e-05
Singapore,Hinduism,,,3.8388155660322094e-05,0.0,3.8388155660322094e-05,-3.8388155660322094e-05,3.8388155660322094e-05,-1.0,1.9194077830161047e-05
Malawi,Other religious group,,,3.781816377674546e-05,0.0,3.781816377674546e-05,-3.781816377674546e-05,3.781816377674546e-05,-1.0,1.890908188837273e-05
Barbados,Christianity,,,3.728007983576089e-05,0.0,3.728007983576089e-05,-3.728007983576089e-05,3.728007983576089e-05,-1.0,1.8640039917880444e-05
Serbia,I do not identify with any religious group or faith,,,3.718870709106539e-05,0.0,3.718870709106539e-05,-3.718870709106539e-05,3.718870709106539e-05,-1.0,1.8594353545532695e-05
French Polynesia,Christianity,,,3.681016286304121e-05,0.0,3.681016286304121e-05,-3.681016286304121e-05,3.681016286304121e-05,-1.0,1.8405081431520605e-05
Mali,Other religious group,,,3.678188082301641e-05,0.0,3.678188082301641e-05,-3.678188082301641e-05,3.678188082301641e-05,-1.0,1.8390940411508206e-05
Iraq,Christianity,,,3.6746346977857054e-05,0.0,3.6746346977857054e-05,-3.6746346977857054e-05,3.6746346977857054e-05,-1.0,1.8373173488928527e-05
Japan,Islam,,,3.6705736869103504e-05,0.0,3.6705736869103504e-05,-3.6705736869103504e-05,3.6705736869103504e-05,-1.0,1.8352868434551752e-05
Algeria,Islam,3.0,0.005,0.0050363975206472,0.005,0.0050363975206472,-3.639752064719948e-05,3.639752064719948e-05,-0.007226895910814092,1.819876032359974e-05
Haiti,Other religious group,,,3.622276664714162e-05,0.0,3.622276664714162e-05,-3.622276664714162e-05,3.622276664714162e-05,-1.0,1.811138332357081e-05
Germany,Buddhism,,,3.580941375447153e-05,0.0,3.580941375447153e-05,-3.580941375447153e-05,3.580941375447153e-05,-1.0,1.7904706877235765e-05
Germany,Judaism,,,3.580941375447153e-05,0.0,3.580941375447153e-05,-3.580941375447153e-05,3.580941375447153e-05,-1.0,1.7904706877235765e-05
Qatar,Hinduism,,,3.522636862165268e-05,0.0,3.522636862165268e-05,-3.522636862165268e-05,3.522636862165268e-05,-1.0,1.761318431082634e-05
Qatar,Christianity,,,3.522636862165268e-05,0.0,3.522636862165268e-05,-3.522636862165268e-05,3.522636862165268e-05,-1.0,1.761318431082634e-05
Fiji,Hinduism,,,3.4799962479740374e-05,0.0,3.4799962479740374e-05,-3.4799962479740374e-05,3.4799962479740374e-05,-1.0,1.7399981239870187e-05
Burma (Myanmar),I do not identify with any religious group or faith,,,3.47796574253636e-05,0.0,3.47796574253636e-05,-3.47796574253636e-05,3.47796574253636e-05,-1.0,1.73898287126818e-05
Kosovo,Christianity,,,3.439096067015103e-05,0.0,3.439096067015103e-05,-3.439096067015103e-05,3.439096067015103e-05,-1.0,1.7195480335075514e-05
Burundi,Islam,,,3.403127113547671e-05,0.0,3.403127113547671e-05,-3.403127113547671e-05,3.403127113547671e-05,-1.0,1.7015635567738354e-05
Kuwait,Hinduism,,,3.3778908316793925e-05,0.0,3.3778908316793925e-05,-3.3778908316793925e-05,3.3778908316793925e-05,-1.0,1.6889454158396963e-05
Croatia,I do not identify with any religious group or faith,,,3.254610144391823e-05,0.0,3.254610144391823e-05,-3.254610144391823e-05,3.254610144391823e-05,-1.0,1.6273050721959115e-05
Vanuatu,Christianity,,,3.247648411462643e-05,0.0,3.247648411462643e-05,-3.247648411462643e-05,3.247648411462643e-05,-1.0,1.6238242057313215e-05
Uzbekistan,I do not identify with any religious group or faith,,,3.1838325262784896e-05,0.0,3.1838325262784896e-05,-3.1838325262784896e-05,3.1838325262784896e-05,-1.0,1.5919162631392448e-05
Mauritius,Islam,,,3.148733789427205e-05,0.0,3.148733789427205e-05,-3.148733789427205e-05,3.148733789427205e-05,-1.0,1.5743668947136025e-05
New Caledonia,Christianity,,,3.08926898732379e-05,0.0,3.08926898732379e-05,-3.08926898732379e-05,3.08926898732379e-05,-1.0,1.544634493661895e-05
Thailand,I do not identify with any religious group or faith,,,3.00746862540592e-05,0.0,3.00746862540592e-05,-3.00746862540592e-05,3.00746862540592e-05,-1.0,1.50373431270296e-05
Kazakhstan,Islam,1.0,0.0016666666666666668,0.0016367498232031,0.0016666666666666668,0.0016367498232031,2.9916843463566843e-05,2.9916843463566843e-05,0.018278201738259506,1.4958421731783422e-05
Argentina,Judaism,,,2.9304544548768625e-05,0.0,2.9304544548768625e-05,-2.9304544548768625e-05,2.9304544548768625e-05,-1.0,1.4652272274384313e-05
Malaysia,I do not identify with any religious group or faith,,,2.8833177215022032e-05,0.0,2.8833177215022032e-05,-2.8833177215022032e-05,2.8833177215022032e-05,-1.0,1.4416588607511016e-05
Mayotte,Islam,,,2.8601119450716025e-05,0.0,2.8601119450716025e-05,-2.8601119450716025e-05,2.8601119450716025e-05,-1.0,1.4300559725358012e-05
French Guiana,Christianity,,,2.8154408254426954e-05,0.0,2.8154408254426954e-05,-2.8154408254426954e-05,2.8154408254426954e-05,-1.0,1.4077204127213477e-05
Saudi Arabia,I do not identify with any religious group or faith,,,2.7868687132125167e-05,0.0,2.7868687132125167e-05,-2.7868687132125167e-05,2.7868687132125167e-05,-1.0,1.3934343566062583e-05
Rwanda,Islam,,,2.772510139046083e-05,0.0,2.772510139046083e-05,-2.772510139046083e-05,2.772510139046083e-05,-1.0,1.3862550695230415e-05
Bolivia,Other religious group,,,2.7363961494759596e-05,0.0,2.7363961494759596e-05,-2.7363961494759596e-05,2.7363961494759596e-05,-1.0,1.3681980747379798e-05
Netherlands Antilles,Christianity,,,2.72377800854182e-05,0.0,2.72377800854182e-05,-2.72377800854182e-05,2.72377800854182e-05,-1.0,1.36188900427091e-05
Guyana,Hinduism,,,2.708549217759238e-05,0.0,2.708549217759238e-05,-2.708549217759238e-05,2.708549217759238e-05,-1.0,1.354274608879619e-05
Iran,Other religious group,,,2.6820801290180835e-05,0.0,2.6820801290180835e-05,-2.6820801290180835e-05,2.6820801290180835e-05,-1.0,1.3410400645090417e-05
Bahrain,Christianity,,,2.6498095961692785e-05,0.0,2.6498095961692785e-05,-2.6498095961692785e-05,2.6498095961692785e-05,-1.0,1.3249047980846392e-05
Turkey,Other religious group,,,2.6378441176972495e-05,0.0,2.6378441176972495e-05,-2.6378441176972495e-05,2.6378441176972495e-05,-1.0,1.3189220588486247e-05
Oman,Christianity,,,2.620802375631027e-05,0.0,2.620802375631027e-05,-2.620802375631027e-05,2.620802375631027e-05,-1.0,1.3104011878155135e-05
Norway,Islam,,,2.61877187019335e-05,0.0,2.61877187019335e-05,-2.61877187019335e-05,2.61877187019335e-05,-1.0,1.309385935096675e-05
Guinea,I do not identify with any religious group or faith,,,2.6054285487457545e-05,0.0,2.6054285487457545e-05,-2.6054285487457545e-05,2.6054285487457545e-05,-1.0,1.3027142743728773e-05
Vietnam,Islam,,,2.5482843242853986e-05,0.0,2.5482843242853986e-05,-2.5482843242853986e-05,2.5482843242853986e-05,-1.0,1.2741421621426993e-05
Samoa,Christianity,,,2.5271090532924747e-05,0.0,2.5271090532924747e-05,-2.5271090532924747e-05,2.5271090532924747e-05,-1.0,1.2635545266462373e-05
Pakistan,Other religious group,,,2.5176817066175427e-05,0.0,2.5176817066175427e-05,-2.5176817066175427e-05,2.5176817066175427e-05,-1.0,1.2588408533087714e-05
Libya,Christianity,,,2.490559955414278e-05,0.0,2.490559955414278e-05,-2.490559955414278e-05,2.490559955414278e-05,-1.0,1.245279977707139e-05
Guam,Christianity,,,2.459232157232966e-05,0.0,2.459232157232966e-05,-2.459232157232966e-05,2.459232157232966e-05,-1.0,1.229616078616483e-05
Gabon,Islam,,,2.45285056871455e-05,0.0,2.45285056871455e-05,-2.45285056871455e-05,2.45285056871455e-05,-1.0,1.226425284357275e-05
Panama,I do not identify with any religious group or faith,,,2.4505299910714905e-05,0.0,2.4505299910714905e-05,-2.4505299910714905e-05,2.4505299910714905e-05,-1.0,1.2252649955357452e-05
Chad,Other religious group,,,2.4431331498342364e-05,0.0,2.4431331498342364e-05,-2.4431331498342364e-05,2.4431331498342364e-05,-1.0,1.2215665749171182e-05
Uganda,I do not identify with any religious group or faith,,,2.423553275970917e-05,0.0,2.423553275970917e-05,-2.423553275970917e-05,2.423553275970917e-05,-1.0,1.2117766379854585e-05
Bhutan,Hinduism,,,2.39280562220037e-05,0.0,2.39280562220037e-05,-2.39280562220037e-05,2.39280562220037e-05,-1.0,1.196402811100185e-05
Saudi Arabia,Other religious group,,,2.388744611325015e-05,0.0,2.388744611325015e-05,-2.388744611325015e-05,2.388744611325015e-05,-1.0,1.1943723056625074e-05
Republic of the Congo,Other religious group,,,2.2851888340034568e-05,0.0,2.2851888340034568e-05,-2.2851888340034568e-05,2.2851888340034568e-05,-1.0,1.1425944170017284e-05
Zambia,Other religious group,,,2.2782271010742764e-05,0.0,2.2782271010742764e-05,-2.2782271010742764e-05,2.2782271010742764e-05,-1.0,1.1391135505371382e-05
St. Lucia,Christianity,,,2.2461741223795084e-05,0.0,2.2461741223795084e-05,-2.2461741223795084e-05,2.2461741223795084e-05,-1.0,1.1230870611897542e-05
Oman,Hinduism,,,2.2176020101493304e-05,0.0,2.2176020101493304e-05,-2.2176020101493304e-05,2.2176020101493304e-05,-1.0,1.1088010050746652e-05
Jamaica,Other religious group,,,2.185694067557254e-05,0.0,2.185694067557254e-05,-2.185694067557254e-05,2.185694067557254e-05,-1.0,1.092847033778627e-05
United Arab Emirates,Buddhism,,,2.1784422624226912e-05,0.0,2.1784422624226912e-05,-2.1784422624226912e-05,2.1784422624226912e-05,-1.0,1.0892211312113456e-05
Nepal,Christianity,,,2.1726408183150408e-05,0.0,2.1726408183150408e-05,-2.1726408183150408e-05,2.1726408183150408e-05,-1.0,1.0863204091575204e-05
Iran,Christianity,,,2.145664103214467e-05,0.0,2.145664103214467e-05,-2.145664103214467e-05,2.145664103214467e-05,-1.0,1.0728320516072335e-05
Yemen,Hinduism,,,2.0928709618348488e-05,0.0,2.0928709618348488e-05,-2.0928709618348488e-05,2.0928709618348488e-05,-1.0,1.0464354809174244e-05
Russia,Buddhism,,,2.0734361240742203e-05,0.0,2.0734361240742203e-05,-2.0734361240742203e-05,2.0734361240742203e-05,-1.0,1.0367180620371101e-05
Sao Tome and Principe,Christianity,,,2.0267344990076353e-05,0.0,2.0267344990076353e-05,-2.0267344990076353e-05,2.0267344990076353e-05,-1.0,1.0133672495038177e-05
Luxembourg,I do not identify with any religious group or faith,,,1.9823534515841107e-05,0.0,1.9823534515841107e-05,-1.9823534515841107e-05,1.9823534515841107e-05,-1.0,9.911767257920554e-06
Jordan,Christianity,,,1.9751016464495475e-05,0.0,1.9751016464495475e-05,-1.9751016464495475e-05,1.9751016464495475e-05,-1.0,9.875508232247738e-06
Botswana,Other religious group,,,1.924048938302225e-05,0.0,1.924048938302225e-05,-1.924048938302225e-05,1.924048938302225e-05,-1.0,9.620244691511125e-06
Honduras,Other religious group,,,1.87386644677105e-05,0.0,1.87386644677105e-05,-1.87386644677105e-05,1.87386644677105e-05,-1.0,9.36933223385525e-06
Rwanda,Other religious group,,,1.8483400926973884e-05,0.0,1.8483400926973884e-05,-1.8483400926973884e-05,1.8483400926973884e-05,-1.0,9.241700463486942e-06
Hong Kong,Islam,,,1.840508143152061e-05,0.0,1.840508143152061e-05,-1.840508143152061e-05,1.840508143152061e-05,-1.0,9.202540715760304e-06
Niger,Christianity,,,1.799607962193126e-05,0.0,1.799607962193126e-05,-1.799607962193126e-05,1.799607962193126e-05,-1.0,8.99803981096563e-06
Bahrain,Hinduism,,,1.7909057960316502e-05,0.0,1.7909057960316502e-05,-1.7909057960316502e-05,1.7909057960316502e-05,-1.0,8.954528980158251e-06
Germany,Other religious group,,,1.790470687723577e-05,0.0,1.790470687723577e-05,-1.790470687723577e-05,1.790470687723577e-05,-1.0,8.952353438617884e-06
Paraguay,Other religious group,,,1.7774174384813633e-05,0.0,1.7774174384813633e-05,-1.7774174384813633e-05,1.7774174384813633e-05,-1.0,8.887087192406817e-06
Italy,Buddhism,,,1.756387203591131e-05,0.0,1.756387203591131e-05,-1.756387203591131e-05,1.756387203591131e-05,-1.0,8.781936017955655e-06
Swaziland,I do not identify with any religious group or faith,,,1.7431889182462262e-05,0.0,1.7431889182462262e-05,-1.7431889182462262e-05,1.7431889182462262e-05,-1.0,8.715944591231131e-06
Indonesia,Judaism,,,1.7394904976275995e-05,0.0,1.7394904976275995e-05,-1.7394904976275995e-05,1.7394904976275995e-05,-1.0,8.697452488137998e-06
Montenegro,Islam,,,1.7086703258057073e-05,0.0,1.7086703258057073e-05,-1.7086703258057073e-05,1.7086703258057073e-05,-1.0,8.543351629028537e-06
Zimbabwe,Islam,,,1.6407934297461988e-05,0.0,1.6407934297461988e-05,-1.6407934297461988e-05,1.6407934297461988e-05,-1.0,8.203967148730994e-06
Australia,Judaism,,,1.614977003467155e-05,0.0,1.614977003467155e-05,-1.614977003467155e-05,1.614977003467155e-05,-1.0,8.074885017335775e-06
Tajikistan,Christianity,,,1.596557418425365e-05,0.0,1.596557418425365e-05,-1.596557418425365e-05,1.596557418425365e-05,-1.0,7.982787092126826e-06
Niger,I do not identify with any religious group or faith,,,1.574656966918985e-05,0.0,1.574656966918985e-05,-1.574656966918985e-05,1.574656966918985e-05,-1.0,7.873284834594925e-06
Fed. States of Micronesia,Christianity,,,1.5204134645124549e-05,0.0,1.5204134645124549e-05,-1.5204134645124549e-05,1.5204134645124549e-05,-1.0,7.602067322562274e-06
U.S. Virgin Islands,Christianity,,,1.5124364788644356e-05,0.0,1.5124364788644356e-05,-1.5124364788644356e-05,1.5124364788644356e-05,-1.0,7.562182394322178e-06
Tajikistan,I do not identify with any religious group or faith,,,1.4967725797737796e-05,0.0,1.4967725797737796e-05,-1.4967725797737796e-05,1.4967725797737796e-05,-1.0,7.483862898868898e-06
Suriname,Hinduism,,,1.4932917133091895e-05,0.0,1.4932917133091895e-05,-1.4932917133091895e-05,1.4932917133091895e-05,-1.0,7.466458566545948e-06
Gabon,Other religious group,,,1.4673302509274544e-05,0.0,1.4673302509274544e-05,-1.4673302509274544e-05,1.4673302509274544e-05,-1.0,7.336651254637272e-06
Aruba,Christianity,,,1.4661699621059244e-05,0.0,1.4661699621059244e-05,-1.4661699621059244e-05,1.4661699621059244e-05,-1.0,7.330849810529622e-06
South Africa,Buddhism,,,1.45413196558255e-05,0.0,1.45413196558255e-05,-1.45413196558255e-05,1.45413196558255e-05,-1.0,7.27065982791275e-06
